modernName,alternativeNames,state,country,latitude,longitude,ID,Type,AltID
Ponta Sao Sebastiao,Cape Of St. Sebastian,,Mozambique,-22.11361,35.49305,000001,Cape,BAR001
Bazaruto Archipelago,Islands Of The Great Uciques,,Mozambique,-21.69303,35.41794,000002,Island,BAR002
,Little Vciques Islands In Rivers,,Mozambique,-20.67052,34.9967,000003,Island,BAR003
Fort São Caetano,Sofala,,Mozambique,-20.17855,34.76119,000004,Fortification,BAR004
Kingdom of Mutapa,Kingdom Of Benamatapa,,Zimbabwe,-16.72901457,,000005,Kingdom,BAR005
Angoche,Angoy,,Mozambique,-16.22654378,39.90752564,000006,Coast,BAR006
Mozambique Island,Mozambique Island,,Mozambique,-15.0359,40.73486,000007,Island,BAR007
Kilwa Kisiwani,Island Of Quiloa,,Tanzania,-8.96587,39.49708,000008,Island,BAR008
Mombasa Island,Island Of Mombaza,,Kenya,-4.05472,39.66361,000009,Island,BAR009
Malindi,Melinde,,Kenya,-3.21918,40.11689,000010,Town,BAR010
Madigasgar,Island Of San Lorenzo,,Madigasgar,-20.99486069,45.83493519,000011,Island,BAR011
Zanzibar Island,"Penda, Manfia, And Zanzibar",,Tanzania,-6.16666,39.33333,000012,Island,BAR012
Pate,Pate,,Kenya,-2.13333,41,000013,Town,BAR013
Baraawe,Brava,,Somalia,1.11619,44.03181,000014,Town,BAR014
Mogadishu,Magadoxo,,Somalia,2.04693,45.31816,000015,Town,BAR015
Xaafuun,Afuni,,Somalia,10.73390667,51.33419842,000016,Town,BAR016
Ras Asir,Cape Guardafun,,Somalia,11.83388,51.28666,000017,Cape,BAR017
Maydh,Met,,Somalia,12.30493649,47.32578878,000018,Town,BAR018
Berbera,Barbara,,Somalia,10.43479,45.01399,000019,Town,BAR019
Saylac,Zeyla,,Somalia,11.35368,43.47531,000020,Town,BAR020
Dahlak Kebir,Dalaqua,Dahlak Archipelago,Eritrea,15.72854113,40.09996858,000021,Town,BAR021
Massowa,Masava Savaquin And Other Places,,Eritrea,15.60803,39.4531,000022,Town,BAR022
Abyssinia (historic),Abexi,,Ethiopia,8.77113998,40.08566874,000023,Kingdom,BAR023
Suez,Suez,,Egypt,29.96683,32.5498,000024,Village,BAR024
Mount Moses,Mount Sinai,,Egypt,28.53869,33.97533,000025,Mountain,BAR025
Yanbu,Eliobon,,Saudi Arabia,24.088264, 38.058194,000026,Village,BAR026
Mecca,Meca,,Saudi Arabia,21.38908,39.85791,000027,City,BAR027
Jazan,"Jazan, Hali, Alhor",,Saudi Arabia,16.88935,42.57056,000028,Town,BAR028
Al Hudaydah,Hodeyda,,Yemen,14.79091,42.97088,000029,,BAR029
